,tweet_user,tweet_text,tweet_id,timestamp
0,@CNN,"Some people have taken genetic tests to see how ""pure"" their background is. Here's one way they explain the results.http://cnn.it/2vQtMwR ",898649381452304386,1:54 PM - 18 Aug 2017
1,@CNN,New bill seeks to curb tech's sexual harassment problem http://cnn.it/2uZdCzM pic.twitter.com/B45qj03TYR,898646989570588672,1:45 PM - 18 Aug 2017
2,@CNN,One month: @BrookeBCNN lists President Trump's most controversial moves over the last four weekshttp://snpy.tv/2fShr7i ,898645513817305088,1:39 PM - 18 Aug 2017
3,@CNN,"We’re in Times Square on World Humanitarian Day, site of a “stand together” in solidarity with those facing conflict http://cnn.it/2uPCjTz pic.twitter.com/DlRXLjxzAg",898644995183263744,1:37 PM - 18 Aug 2017
4,@CNN,Who has left the Trump administration? Here's a running list http://cnn.it/2woZZxs pic.twitter.com/b3XcfqS4FK,898644317505564674,1:34 PM - 18 Aug 2017
5,@CNN,President Trump has had a chaotic past four weeks. Here's a list of his most controversial moves during that time. http://cnn.it/2wpqq6h pic.twitter.com/CevRaxSn3n,898639722037235713,1:16 PM - 18 Aug 2017
6,@CNN,Donald Trump fired Steve Bannon. But Bannon still won. | Analysis by Chris Cillizza http://cnn.it/2uYMRM0 pic.twitter.com/pHhPPHhan5,898637528298774528,1:07 PM - 18 Aug 2017
7,@CNN,"This fall, Colorado will deploy a fully autonomous truck to help its road crews http://cnn.it/2woXcnP pic.twitter.com/Qh0mckXBNM",898632986157101060,12:49 PM - 18 Aug 2017
8,@CNN,Remaining 16 members of the President's Committee on the Arts and the Humanities resign in protest http://cnn.it/2woTaw3 pic.twitter.com/tBI08WZutK,898624809017507841,12:17 PM - 18 Aug 2017
9,@CNN,'#WAR': Breitbart set to take on Trump White House after Bannon ousterhttp://cnn.it/2w9Tvmt ,898620454881169409,11:59 AM - 18 Aug 2017
10,@CNNPolitics,.@BrookeBCNN reminds us what’s happened in the past four weeks of the Trump administrationhttp://snpy.tv/2iefNhd ,898613541514625024,11:32 AM - 18 Aug 2017
11,@CNN,"This is Donald Trump's worst week as president, Cillizza says. Here are 5 other really bad ones. http://cnn.it/2fRS19V pic.twitter.com/T31fpO2Bgb",898608594492379137,11:12 AM - 18 Aug 2017
12,@CNN,"Trump has privately stewed over Bannon in recent days; he was supposed to be fired 2 weeks ago, but it was put offhttp://cnn.it/2fSNzHN ",898606589598285825,11:04 AM - 18 Aug 2017
13,@CNNPolitics,Bannon represents the latest high-profile exit since Trump took office in January http://cnn.it/2xb9n4M pic.twitter.com/zBzYtEJoG8,898602461774192641,10:48 AM - 18 Aug 2017
14,@CNN,What if lawmakers or Trump fail on the debt ceiling?http://cnn.it/2woufs8 ,898595767455281152,10:21 AM - 18 Aug 2017
15,@CNN,JUST IN: White House officials say Chief Strategist Steve Bannon was fired http://cnn.it/2fTzydf pic.twitter.com/bPEFIjGpXa,898594986870005763,10:18 AM - 18 Aug 2017
16,@CNN,Mike Pence compared Donald Trump to Teddy Roosevelt. About that...http://cnn.it/2wXAl0s ,898594223695462405,10:15 AM - 18 Aug 2017
17,@CNN,"'Conscience of a Conservative,' the remix: What Jeff Flake's book has in common with Barry Goldwater's http://cnn.it/2uYaFiU pic.twitter.com/r9EzDuH663",898592553846489089,10:08 AM - 18 Aug 2017
18,@CNN,".@Acosta: Steve Bannon essentially “pushed out” after given option to resign, WH source says http://cnn.it/2fS6Qcp http://snpy.tv/2v83AMc ",898592405754060802,10:08 AM - 18 Aug 2017
19,@CNN,Why do you hate me? A brown woman talks to a former white nationalisthttp://cnn.it/2w9mUgx ,898590965019025408,10:02 AM - 18 Aug 2017
20,@CNN,"BREAKING: Embattled White House Chief Strategist Steve Bannon is out, two administration officials tell CNN http://cnn.it/2fSDWc7 pic.twitter.com/1t82kLgm4s",898589695252115459,9:57 AM - 18 Aug 2017
21,@CNN,Death toll in Sierra Leone mudslides rises to 419 as UK pledges aid http://cnn.it/2wXvaxJ pic.twitter.com/f4tBSKkmvP,898588010618404864,9:50 AM - 18 Aug 2017
22,@CNN,Trump elevates military command that handles cyberthreats http://cnn.it/2w9h8vn pic.twitter.com/r9LPx0Hf1P,898586610354184192,9:45 AM - 18 Aug 2017
23,@CNN,Travis Kalanick lashes back at major Uber investor in new filing http://cnn.it/2uPb0se pic.twitter.com/3MzD3vBgQj,898585076157472769,9:39 AM - 18 Aug 2017
24,@CNN,Air ball! Nobody's buying expensive sneakershttp://cnn.it/2wXG7zk ,898583439758073858,9:32 AM - 18 Aug 2017
25,@CNN,Mitt Romney calls on Trump to apologize over #Charlottesville comments http://cnn.it/2wohVrX pic.twitter.com/HtyjCqdHFE,898579842630901760,9:18 AM - 18 Aug 2017
26,@CNN,"Secretary of State Rex Tillerson on US race relations: ""Hate is not an American value"" http://cnn.it/2wXip6p http://cnn.it/2w8TSxF ",898576474499801088,9:05 AM - 18 Aug 2017
27,@CNN,How Seattle morphed from bikeshare failure to industry leader in five months http://cnn.it/2wogxpw pic.twitter.com/y5xbt1inUA,898572234632986624,8:48 AM - 18 Aug 2017
28,@CNN,Georgia NAACP wants all Confederate symbols removed from public propertyhttp://cnn.it/2uXMXn0 ,898567304773902336,8:28 AM - 18 Aug 2017
29,@Acosta,"WH response via SHS to Heyer's mother: ""Our thoughts and prayers continue to be with her and her family.",898562629316116481,8:09 AM - 18 Aug 2017
30,@CNN,Private prison industry sees boon under Trump administrationhttp://cnn.it/2uOxZnq ,898562161600937985,8:08 AM - 18 Aug 2017
31,@CNNnewsroom,"#Turku eyewitness Paiman Afzali describes a ""young guy...running around city with a knife, "" others chasing himhttp://snpy.tv/2fR8zyG ",898560766546137090,8:02 AM - 18 Aug 2017
32,@cnnbrk,Police in Finland say they shot and arrested a suspect after several people were stabbed in the city of Turku. http://cnn.it/2w8GTfl pic.twitter.com/YWiYYjWWFB,898555679526576128,7:42 AM - 18 Aug 2017
33,@CNN,Charlottesville victim Heather Heyer's mom won't speak to Trump after his comments http://cnn.it/2w81h0g pic.twitter.com/qyNUACk30t,898555184548151303,7:40 AM - 18 Aug 2017
34,@CNN,"Turku eyewitness describes man with a ""huge knife..constantly stabbing at people"" http://cnn.it/2fRID61 http://snpy.tv/2ibDFSo ",898554563187232768,7:37 AM - 18 Aug 2017
35,@CNNPolitics,"Rex Tillerson on race relations in America: ""Painful racial tensions are part of our experience as a nation""http://snpy.tv/2w8SuuR ",898550912146259969,7:23 AM - 18 Aug 2017
36,@CNN,"Photo by state broadcaster YLE shows what appears to be two people on the ground in #Turku, Finland, after stabbing http://cnn.it/2fROXdU pic.twitter.com/cDfZFQqYnf",898547109288226816,7:08 AM - 18 Aug 2017
37,@CNN,"JUST IN: Several people stabbed in #Turku, Finland; public urged to avoid downtown area http://cnn.it/2fRzdYd http://snpy.tv/2idibEX ",898544522757406720,6:58 AM - 18 Aug 2017
38,@CNNnewsroom,".@RepTedDeutch: ""The President know this was never about statues"" calls for Congress to vote on a censure resolutionhttp://snpy.tv/2xaGnKw ",898540801621336064,6:43 AM - 18 Aug 2017
39,@CNN,"""You can't wash this one away by shaking my hand and saying 'I'm sorry.' I'm not forgiving for that,"" she added. ""Think before you speak.""",898537757097697280,6:31 AM - 18 Aug 2017
40,@CNN,"Susan Bro, mother of Charlottesville victim, says the White House tried to call her during her daughter's funeral http://cnn.it/2fQYD8v pic.twitter.com/NepDMXaMTP",898537240644669440,6:29 AM - 18 Aug 2017
41,@CNNPhotos,"“It’s scary, but what can we do?” People in Guam react to North Korea’s latest threat: http://cnn.it/2fO9YpC pic.twitter.com/xRf2hnRw1Y",898535403225001984,6:21 AM - 18 Aug 2017
42,@CNN,"Mother of Charlottesville victim Heather Heyer says she won't speak with Trump after he blamed ""both sides"" http://cnn.it/2w7JF4E pic.twitter.com/0eGddATNw7",898528012299259904,5:52 AM - 18 Aug 2017
43,@CNN,The attack in #Barcelona was the one locals feared was coming http://cnn.it/2w8e9TU pic.twitter.com/zy9ualWk5P,898527299007504384,5:49 AM - 18 Aug 2017
44,@NewDay,"If AG Sessions calls the deadly car attack in Charlottesville terrorism, ""I will accept that,"" says @CoreyStewartVAhttp://snpy.tv/2fReX9e ",898524113651646465,5:36 AM - 18 Aug 2017
45,@CNN,"This is Bruno Gulotta, an Italian father-of-two. He is the first named victim of the terror attacks in Spain http://cnn.it/2w7PvTs pic.twitter.com/p3NFpVFTgt",898523270139588609,5:33 AM - 18 Aug 2017
46,@CNN,Parents of some of Florida's sickest children say state tricked them into losing best insurance for their kids http://cnn.it/2wn1PyX pic.twitter.com/pGseV83cwY,898520941571055616,5:24 AM - 18 Aug 2017
47,@CNN,Pussy Riot member: Authoritarianism is spreading like 'sexually transmitted diseases' http://cnn.it/2w8wdgw pic.twitter.com/h59FyiB8ts,898519114200698881,5:17 AM - 18 Aug 2017
48,@CNN,"After 7 mostly unproductive months in office, Trump is again becoming what he has always been — an outsider http://cnn.it/2uWGdWx pic.twitter.com/EBSXzhTreV",898514973709795328,5:00 AM - 18 Aug 2017
49,@CNN,"5 things for Friday: #Barcelona, Trump, Confederate statues, Navy ousters, torturehttp://cnn.it/2wVUi7Y ",898511291584843776,4:46 AM - 18 Aug 2017
50,@NewDay,".@RepLeeZeldin on Trump's debunked story about terrorists, pigs' blood: That ""tactic is not one the [U.S.] uses...""http://snpy.tv/2fQuKF6 ",898509771468414977,4:39 AM - 18 Aug 2017
51,@CNNMoney,"Daily brief: 
- Kalanick hits back 
- Trump on Barcelona
- James Murdoch's letter 
- Top CEO quits
- Tip of the Dayhttp://cnnmon.ie/2wVU2pD ",898508021399257088,4:33 AM - 18 Aug 2017
52,@CNN,Just waking up? Here’s what we know about the deadly attacks in Spain http://cnn.it/2uOjgZH pic.twitter.com/RDQ6tGTGeS,898507602048536576,4:31 AM - 18 Aug 2017
53,@CNN,#Barcelona comes together to pay respects to those who lost their lives http://cnn.it/2iebaDU pic.twitter.com/ZZQ9iXIKWu,898506087128645632,4:25 AM - 18 Aug 2017
54,@CNN,The time Donald Trump wasn't worried about the 'history and culture' of sculptures http://cnn.it/2w8fie5 pic.twitter.com/8Y51RjT09p,898503926835802112,4:16 AM - 18 Aug 2017
55,@CNN,"Only days after a mudslide killed hundreds of people, threat of a new landslide looms in Sierra Leone, official says http://cnn.it/2vOGTyF pic.twitter.com/RDgB8xI4l1",898499744481255428,4:00 AM - 18 Aug 2017
56,@CNNPhotos,The week in 27 photos: http://cnn.it/2v7pD5u pic.twitter.com/1zeGAnybx5,898497947876208640,3:52 AM - 18 Aug 2017
57,@CNN,"Using emoticons in work emails make you look incompetent, a study finds http://cnn.it/2w8q30d pic.twitter.com/GInvBTfrPu",898495708180959232,3:44 AM - 18 Aug 2017
58,@CNN,JUST IN: Death toll rises to 14 in Spain terror attacks that also injured more than 100 others http://cnn.it/2iaTyZk pic.twitter.com/NmJCK39goz,898494641170862081,3:39 AM - 18 Aug 2017
59,@CNN,Here's what we know about Thursday's #Barcelona attack -- the worst on Spanish soil since the 2004 Madrid bombings http://cnn.it/2vOTLoo pic.twitter.com/ERRA4ZxWsL,898491924658741249,3:29 AM - 18 Aug 2017
60,@CNN,Shares in European airlines and tour operators slumped on Friday after a spate of terror attacks rocked Spain http://cnn.it/2vOaN61 pic.twitter.com/ATsliDcPVx,898490685225086976,3:24 AM - 18 Aug 2017
61,@CNN,Top Indian tech CEO resigns after months of tensions between the company's leadership and its founders http://cnn.it/2w7YxzJ pic.twitter.com/4M6ZfQjkcb,898487669058969600,3:12 AM - 18 Aug 2017
62,@CNN,A minute's silence is held in #Barcelona's Plaça de Catalunya in memory of the victims of Thursday's terror attack http://cnn.it/2uWxzYb pic.twitter.com/KTElnexcFA,898487577799512064,3:11 AM - 18 Aug 2017
63,@arwaCNN,"Sign reads ""today I sing for the voices your tried to silence"" ... crowds chats ""we are not afraid"" ""we won't forget"" #barcelonapic.twitter.com/0PgVXfPNTx",898486449263190016,3:07 AM - 18 Aug 2017
64,@CNN,"In #Barcelona, members of the public light candles on Las Ramblas, where 13 people died in Thursday's terror attack: http://cnn.it/2w83j05 pic.twitter.com/1PNrZHsgjE",898484962290257920,3:01 AM - 18 Aug 2017
65,@CNN,Witnesses describe the scene as a van rammed into a crowd of people in a popular area of #Barcelona http://cnn.it/2uWBhki pic.twitter.com/jeGUVHaa9B,898484800083951621,3:00 AM - 18 Aug 2017
66,@CNN,The Eiffel Tower in Paris goes dark in honor of the victims of the #Barcelona attack http://cnn.it/2w8diCS pic.twitter.com/NgOfXB9CKW,898482157080817664,2:50 AM - 18 Aug 2017
67,@CNN,"Wide-ranging anti-terror operation underway in Spain on Friday, after a van attack in #Barcelona killed 13 people http://cnn.it/2wmj9E9 pic.twitter.com/LHWTI1AvAY",898480397595574277,2:43 AM - 18 Aug 2017
68,@CNN,"Only days after a mudslide killed hundreds of people, threat of a new landslide looms in Sierra Leone, official says http://cnn.it/2w7YbJm pic.twitter.com/tpAmjdj4uc",898475963956080641,2:25 AM - 18 Aug 2017
69,@CNN,Anti-terror operation under way in Spain after police killed five men wearing fake suicide belts in #Cambrils:http://cnn.it/2w82Mv4 ,898469536780791808,2:00 AM - 18 Aug 2017
70,@CNN,"Some US cities are removing Confederate statues, while others are keeping them. Here's a state-by-state breakdown http://cnn.it/2wlYdgr pic.twitter.com/xyqp8Iwkhu",898467076133629952,1:50 AM - 18 Aug 2017
71,@CNN,Spain's King Felipe VI will take part in a minute of silence to honor the victims of the #Barcelona attack on Friday http://cnn.it/2wlWp7l pic.twitter.com/TEbWgYR899,898465068303749121,1:42 AM - 18 Aug 2017
